IdClaveEdo,IdClaveMun,Descripcion
"21","129","TETELA DE OCAMPO"
"21","129","AQUIXTLA"
"29","129","EL CARMEN TEQUEXQUITLA"
"21","129","HUEJOTZINGO"
"21","129","CHIAUTZINGO"
"21","129","TLALTENANGO"
"21","130","MOLCAXAC"
"21","130","TLACOTEPEC DE BENITO JUAREZ"
"21","130","JUAN NEPOMUCENO MENDEZ"
"21","130","IXCAQUIXTLA"
"21","130","TEPEXI DE RODRIGUEZ"
"21","130","COYOTEPEC"
"21","130","SAN FELIPE TEOTLALCINGO"
"21","130","TEHUITZINGO"
"21","130","SAN GABRIEL CHILAC"
"21","130","ZINACATEPEC"
"21","131","ZACAPOAXTLA"
"21","131","HUEHUETLAN EL CHICO"
"29","131","TEOLOCHOLCO"
"29","131","TOTOLAC"
"29","131","TETLA"
"29","131","TOCATLAN"
"29","131","IXTENCO"
"29","131","MAZATECOCHCO DE JOSE MARIA MORELOS"
"23","131","FELIPE CARRILLO PUERTO"
"25","131","MOCORITO"
"26","132","SAHUARIPA"
"26","132","BACANORA"
"26","132","ARIVECHI"
"26","132","ROSARIO"
"26","132","FRONTERAS"
"26","132","NACO"
"27","132","BALANCAN"
"27","132","EMILIANO ZAPATA"
"27","132","JONUTA"
"27","132","JALPA DE MENDEZ"
"27","133","NACAJUCA"
"07","133","LA LIBERTAD"
"07","133","CATAZAJA"
"07","133","PICHUCALCO"
"07","133","IXTACOMITAN"
"07","133","JUAREZ"
"07","133","SOLUSUCHIAPA"
"07","133","OSTUACAN"
"07","133","PALENQUE"
"28","133","SAN FERNANDO TAM"
"28","134","SOTO LA MARINA TAM"
"28","134","PADILLA TAM"
"28","134","JIMENEZ TAM"
"28","134","ABASOLO TAM"
"28","134","HIDALGO TAM"
"28","134","VILLAGRAN TAM"
"28","134","MAINERO TAM"
"28","134","TULA TAM"
"30","134","CASTILLO DE TEAYO"
"30","134","GUTIERREZ ZAMORA"
"30","135","TECOLUTLA"
"30","135","ALTOTONGA"
"30","135","JALACINGO"
"30","135","MANLIO FAVIO ALTAMIRANO"
"30","135","SOLEDAD DE DOBLADO"
"30","135","YECUATLA"
"30","135","PUENTE NACIONAL"
"30","135","TLANELHUAYOCAN"
"30","135","VEGA DE ALATORRE"
"30","135","OLUTA"
"30","136","SAYULA DE ALEMAN"
"12","144","GRAL HELIODORO CASTILLO"
"12","144","AZOYU"
"12","144","CUAJINICUILAPA"
"13","144","ALFAJAYUCAN"
"13","144","EL ARENAL"
"13","144","CARDONAL"
"13","144","CHAPANTONGO"
"13","144","CHILCUAUTLA"
"13","145","FRANCISCO I MADERO"
"13","145","HUICHAPAN"
"13","145","NOPALA"
"13","145","SAN AGUSTIN TLAXIACA"
"13","145","SAN SALVADOR"
"13","145","TECOZAUTLA"
"13","145","TEPETITLAN"
"13","145","VILLA DE TEZONTEPEC"
"13","145","TOLCAYUCA"
"13","145","ZAPOTLAN DE JUAREZ"
"13","146","ZIMAPAN"
"14","146","ACATIC"
"14","146","CHIMALTITAN"
"14","146","HUEJUCAR"
"14","146","HUEJUQUILLA EL ALTO"
"14","146","OJUELOS DE JALISCO"
"14","146","SAN CRISTOBAL DE LA BARRANCA"
"14","146","SAN DIEGO DE ALEJANDRIA"
"14","146","SAN JULIAN"
"14","146","SAN MARTIN DE BOLA&OS"
"14","147","ATEMAJAC DE BRIZUELA"
"14","147","ATENGO"
"14","147","ATENGUILLO"
"14","147","CABO CORRIENTES"
"14","147","CHIQUILISTLAN"
"14","147","JILOTLAN DE LOS DOLORES"
"14","147","MANUEL M DIEGUEZ"
"14","147","MIXTLAN"
"14","147","SAN SEBASTIAN DEL OESTE"
"14","147","TOLIMAN"
"14","148","TONAYA"
"14","148","TUXCACUESCO"
"14","148","ZAPOTITLAN DE VADILLO"
"14","148","ZAPOTLAN DEL REY"
"15","148","ACULCO"
"15","148","ZACUALPAN"
"15","148","SOYANIQUILPAN DE JUAREZ"
"15","148","ZACAZONAPAN"
"15","148","POLOTITLAN"
"15","148","HUEYPOXTLA"
"15","149","JALTENCO"
"15","149","NEXTLALPAN"
"15","149","TEMASCALAPA"
"15","149","TEQUIXQUIAC"
"17","149","HUITZILAC"
"18","149","EL NAYAR"
"20","149","STA MARIA COLOTEPEC OAX"
"20","149","UNION HIDALGO"
"20","149","SANTA MARIA JALAPA DEL MARQUEZ"
"20","149","SANTA MARIA MIXTEQUILLA"
"21","150","AHUAZOTEPEC"
"21","150","ATEMPAN"
"16","115","TANHUATO"
"16","115","BRISENAS"
"16","115","ZINAPARO"
"21","150","CUYOACO"
"21","150","CHIGNAHUTLA"
"21","150","HUEYTAMALCO"
"21","150","TEPEYAHUALCO"
"21","150","TETELES DE AVILA CASTILLO"
"21","150","XIUTETELCO"
"21","150","CALPAN"
"21","150","DOMINGO ARENAS"
"21","151","CA&ADA MORELOS"
"30","151","TRES VALLES"
"21","151","SAN SALVADOR EL VERDE"
"21","151","HUEHUETLAN EL GRANDE"
"21","151","TOCHTEPEC"
"30","151","AGUA DULCE"
"23","151","JOSE MA MORELOS Q ROO"
"28","151","SAN CARLOS"
"04","151","ESCARCEGA"
"30","151","CAZONES DE HERRERA"
"30","152","JESUS CARRANZA"
"30","152","NARANJAL"
"30","152","PLAYA VICENTE"
"30","152","ALDAMA (VILLA)"
"03","152","ISLA DE CEDROS"
"25","152","NAVOLATO"
"19","152","SUBDEL 1 NOROESTE MTY"
"19","152","SUBDEL 2 NORESTE MTY"
"19","152","SUBDEL 3 SUROESTE MTY"
"19","152","SUBDEL 4 SURESTE MTY"
"30","153","EL HIGO VER"
"10","153","NUEVO IDEAL DGO"
"18","153","BAHIA DE BANDERAS"
"21","153","PUEBLA SUR"
"26","153","GRAL PLUTARCO ELIAS CALLES"
"01","153","AGUASCALIENTES SUR"
"07","153","SAN JUAN CANCUC"
"01","153","SAN FRANCISCO DE LOS ROMO"
"01","153","EL LLANO"
"31","153","MERIDA SUR"
"03","154","LORETO B C S"
"23","154","SOLIDARIDAD"
"24","154","SAN LUIS POTOSI PONIENTE"
"15","154","VALLE DE CHALCO SOLIDARIDAD"
"24","154","EL NARANJO"
"24","154","MATLAPA"
"08","154","JUAREZ 2"
"19","154","GUADALUPE (APODACA)"
"19","154","SAN NICOLAS DE LOS GARZA (APODACA)"
"29","154","SAN FRANCISCO TETLANOHCAN"
"29","155","SANTA APOLONIA TEACALCO"
"29","155","SANTA CRUZ QUILEHTLA"
"29","155","LA MAGDALENA TLALTELULCO"
"29","155","SAN JUAN HUACTZINCO"
"29","155","SANTA ISABEL XILOXOXTLA"
"29","155","SAN JOSE TEACALCO"
"29","155","SANTA CATARINA AYOMETLA"
"29","155","SAN DAMIAN TEXOLOC"
"29","155","SAN JERONIMO ZACUALPAN"
"29","155","SAN LUCAS TECOPILCO"
"29","156","SANTA ANA NOPALUCAN"
"29","156","SAN LORENZO AXOCOMANITLA"
"29","156","BENITO JUAREZ"
"02","156","PLAYAS DE ROSARITO B C"
"26","156","BENITO JUAREZ"
"26","156","SAN IGNACIO RIO MUERTO"
"30","156","CARLOS A. CARRILLO"
"09","156","ALVARO OBREGON"
"09","156","AZCAPOTZALCO"
"09","156","BENITO JUAREZ"
"09","157","COYOACAN"
"09","157","CUAJIMALPA DE MORELOS"
"09","157","CUAUHTEMOC"
"09","157","GUSTAVO A. MADERO"
"09","157","IZTACALCO"
"09","157","IZTAPALAPA"
"09","157","MAGDALENA CONTRERAS"
"09","157","MIGUEL HIDALGO"
"09","157","MILPA ALTA"
"09","157","TLAHUAC"
"09","158","TLALPAN"
"09","158","VENUSTIANO CARRANZA"
"09","158","XOCHIMILCO"
"28","461","MIER TAM"
"28","462","MIGUEL ALEMAN TAM"
"30","136","SOCONUSCO"
"30","136","IXHUATLAN DEL SURESTE"
"30","136","MOLOACAN"
"30","136","LA PERLA"
"30","136","MARIANO ESCOBEDO"
"30","136","CAMARON TEJEDA"
"30","136","IXHUATLANCILLO"
"30","136","TLILAPAN"
"30","136","ACULTZINGO"
"30","137","JUAN RODRIGUEZ CLARA"
"31","137","TICUL"
"31","137","AKIL"
"31","137","BUCTZOTZ"
"31","137","CALOTMUL"
"31","137","CUNCUNUL"
"31","137","CHACSIKIN"
"31","137","CHEMAX"
"31","137","CHICHIMILA"
"31","137","CHUMAYEL"
"31","138","DZAN"
"31","138","DZILAM DE BRAVO"
"31","138","ESPITA"
"31","138","KANTUNIL"
"31","138","KAUA"
"31","138","MANI"
"31","138","MUNA"
"31","138","OPICHEN"
"31","138","OXKUTZCAB"
"31","138","PANABA"
"31","139","SAN FELIPE"
"31","139","SANTA ELENA"
"31","139","SOTUTA"
"31","139","SUCILA"
"31","139","TAHDZIU"
"31","139","TEABO"
"31","139","TEKAX"
"31","139","TEKOM"
"31","139","TEMOZON"
"31","139","TINUM"
"31","140","TIXCACALCUPUL"
"31","140","TIXMEUAC"
"31","140","TUNKAS"
"31","140","UAYMA"
"32","140","NORIA DE ANGELES"
"32","140","BENITO JUAREZ"
"32","140","MIGUEL AUZA"
"32","140","APOZOL"
"32","140","MOMAX"
"32","140","ATOLINGA"
"32","141","TEPECHITLAN"
"32","141","PANUCO"
"32","141","ENRIQUE ESTRADA"
"32","141","SAIN ALTO"
"32","141","SUSTICACAN"
"32","141","TEPETONGO"
"32","141","TABASCO"
"32","141","MORELOS"
"32","141","CALERA"
"32","141","VILLA GONZALEZ ORTEGA"
"32","142","TLALTENANGO DE SANCHEZ ROMAN"
"32","142","TEUL DE GONZALEZ ORTEGA"
"32","142","MONTE ESCOBEDO"
"32","142","JUAN ALDAMA"
"32","142","VALPARAISO"
"32","142","VILLA DE COS"
"32","142","VILLANUEVA"
