MES_ANO,VAL_INP,VAL_REC
"201605",118.7700,1.1300
"201606",118.9010,1.1300
"201607",119.2110,1.1300
"201608",119.5470,1.1300
"201609",120.2770,1.1300
"201610",121.0070,1.1300
"201611",121.9530,1.1300
"201612",122.5150,1.1300
"201701",124.5980,1.1300
"201702",125.3180,1.1300
"201703",126.0870,1.1300
"201704",126.2420,1.1300
"201705",126.0910,1.1300
"201706",126.4080,1.1300
"201707",126.8860,1.1300
"201708",127.5130,1.1300
"201709",127.9120,1.1300
"201710",128.7170,1.1300
"201711",130.0440,1.1300
"201712",130.8130,1.1300
"201801",131.5080,1.4700
"201802",132.0090,1.4700
"201803",132.4360,1.4700
"201804",131.9870,1.4700
"201805",131.7730,1.4700
"201806",132.2820,1.4700
