RFC
"BATO"
"BOFE"
"BUEI"
"BUEY"
"CACA"
"CACO"
"CAGA"
"CAGO"
"CAKA"
"CAKO"
"COGE"
"COGI"
"COJA"
"COJE"
"COJI"
"COJO"
"COLA"
"CULO"
"FALO"
"FETO"
"FOCA"
"GATA"
"GETA"
"GUEI"
"GUEY"
"JETA"
"JOTO"
"KACA"
"KACO"
"KAGA"
"KAGO"
"KAKA"
"KAKO"
"KOGE"
"KOGI"
"KOJA"
"KOJE"
"KOJI"
"KOJO"
"KOLA"
"KULO"
"LILO"
"LOBA"
"LOCA"
"LOCO"
"LOKA"
"LOKO"
"LORA"
"LORO"
"MALA"
"MAMA"
"MAME"
"MAMO"
"MEAR"
"MEAS"
"MEON"
"MIAR"
"MION"
"MOCO"
"MOKO"
"MULA"
"MULO"
"NACA"
"NACO"
"PEDA"
"PEDO"
"PENE"
"PIPI"
"PITO"
"POPO"
"PUTA"
"PUTO"
"QULO"
"RATA"
"ROBA"
"ROBE"
"ROBO"
"RUIN"
"SAPO"
"SENO"
"SOPE"
"TETA"
"VACA"
"VAGA"
"VAGO"
"VUEI"
"VUEY"
"WUEI"
"WUEY"
